classification,item_type,path,paths_json,size_bytes,allocated_bytes,inode_count,file_count,oldest_mtime_utc,newest_mtime_utc,reason
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-04-17_tick_window_v13_4d256347f4b3f2e6.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-04-17_tick_window_v13_4d256347f4b3f2e6.pkl""]",1204149812,1204150272,1,1,2026-07-31T21:01:35.399057Z,2026-07-31T21:01:35.399057Z,hash/size-bound by the current F07 40-day strict-native input index
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-04-18_tick_window_v13_89e0f46b784419a8.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-04-18_tick_window_v13_89e0f46b784419a8.pkl""]",1183477517,1183477760,1,1,2026-07-31T21:16:42.381809Z,2026-07-31T21:16:42.381809Z,hash/size-bound by the current F07 40-day strict-native input index
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-04-19_tick_window_v13_46affab2e7c64428.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-04-19_tick_window_v13_46affab2e7c64428.pkl""]",1184937557,1184940032,1,1,2026-07-31T21:16:42.787231Z,2026-07-31T21:16:42.787231Z,hash/size-bound by the current F07 40-day strict-native input index
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-04-20_tick_window_v13_0686f89cb6735b1a.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-04-20_tick_window_v13_0686f89cb6735b1a.pkl""]",1196254881,1196257280,1,1,2026-07-31T21:20:05.829994Z,2026-07-31T21:20:05.829994Z,hash/size-bound by the current F07 40-day strict-native input index
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-04-22_tick_window_v13_b150a3d7bf0430a7.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-04-22_tick_window_v13_b150a3d7bf0430a7.pkl""]",1213882272,1213882368,1,1,2026-07-31T21:20:08.366035Z,2026-07-31T21:20:08.366035Z,hash/size-bound by the current F07 40-day strict-native input index
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-04-23_tick_window_v13_6af2863d73b03d95.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-04-23_tick_window_v13_6af2863d73b03d95.pkl""]",1213992126,1213992960,1,1,2026-07-31T21:25:09.783346Z,2026-07-31T21:25:09.783346Z,hash/size-bound by the current F07 40-day strict-native input index
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-05-01_tick_window_v13_5a8cb2841f865613.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-05-01_tick_window_v13_5a8cb2841f865613.pkl""]",1202376885,1202380800,1,1,2026-07-31T21:25:44.485408Z,2026-07-31T21:25:44.485408Z,hash/size-bound by the current F07 40-day strict-native input index
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-05-02_tick_window_v13_7e4da52915577f6f.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-05-02_tick_window_v13_7e4da52915577f6f.pkl""]",1174995519,1174999040,1,1,2026-07-31T21:26:39.624519Z,2026-07-31T21:26:39.624519Z,hash/size-bound by the current F07 40-day strict-native input index
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-05-03_tick_window_v13_1883eba94e972f00.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-05-03_tick_window_v13_1883eba94e972f00.pkl""]",1164337837,1164341248,1,1,2026-07-31T21:30:45.143276Z,2026-07-31T21:30:45.143276Z,hash/size-bound by the current F07 40-day strict-native input index
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-05-04_tick_window_v13_011603575fc36ddd.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-05-04_tick_window_v13_011603575fc36ddd.pkl""]",1207177109,1207177216,1,1,2026-07-31T21:30:55.988776Z,2026-07-31T21:30:55.988776Z,hash/size-bound by the current F07 40-day strict-native input index
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-05-05_tick_window_v13_76265ec0ac783cbd.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-05-05_tick_window_v13_76265ec0ac783cbd.pkl""]",1220802276,1220804608,1,1,2026-07-31T21:31:04.723612Z,2026-07-31T21:31:04.723612Z,hash/size-bound by the current F07 40-day strict-native input index
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-05-06_tick_window_v13_520c0a5d8d3c40cd.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-05-06_tick_window_v13_520c0a5d8d3c40cd.pkl""]",1214328439,1214328832,1,1,2026-07-31T21:34:40.761374Z,2026-07-31T21:34:40.761374Z,hash/size-bound by the current F07 40-day strict-native input index
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-05-13_tick_window_v13_d4c41c611b5b18de.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-05-13_tick_window_v13_d4c41c611b5b18de.pkl""]",1228966150,1228967936,1,1,2026-07-31T21:36:37.148493Z,2026-07-31T21:36:37.148493Z,hash/size-bound by the current F07 40-day strict-native input index
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-05-29_tick_window_v13_34fdfe23a77b9c03.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-05-29_tick_window_v13_34fdfe23a77b9c03.pkl""]",1190018236,1190019072,1,1,2026-07-31T21:37:10.038405Z,2026-07-31T21:37:10.038405Z,hash/size-bound by the current F07 40-day strict-native input index
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-05-30_tick_window_v13_39310394480f5b56.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-05-30_tick_window_v13_39310394480f5b56.pkl""]",1175346074,1175347200,1,1,2026-07-31T21:41:09.839625Z,2026-07-31T21:41:09.839625Z,hash/size-bound by the current F07 40-day strict-native input index
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-05-31_tick_window_v13_012f94b6a664c7de.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-05-31_tick_window_v13_012f94b6a664c7de.pkl""]",1171335102,1171337216,1,1,2026-07-31T21:43:16.851765Z,2026-07-31T21:43:16.851765Z,hash/size-bound by the current F07 40-day strict-native input index
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-02_tick_window_v13_651ab74a80976816.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-02_tick_window_v13_651ab74a80976816.pkl""]",1214836084,1214836736,1,1,2026-07-31T21:43:25.936131Z,2026-07-31T21:43:25.936131Z,hash/size-bound by the current F07 40-day strict-native input index
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-03_tick_window_v13_e9c8e12b44b6b0f2.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-03_tick_window_v13_e9c8e12b44b6b0f2.pkl""]",1228345562,1228349440,1,1,2026-07-31T21:45:07.514769Z,2026-07-31T21:45:07.514769Z,hash/size-bound by the current F07 40-day strict-native input index
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-05_tick_window_v13_146b06e870de2996.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-05_tick_window_v13_146b06e870de2996.pkl""]",1261615482,1261617152,1,1,2026-07-31T21:46:42.118131Z,2026-07-31T21:46:42.118131Z,hash/size-bound by the current F07 40-day strict-native input index
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-06_tick_window_v13_25976a27f53d01a6.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-06_tick_window_v13_25976a27f53d01a6.pkl""]",1223368162,1223368704,1,1,2026-07-31T21:49:14.172660Z,2026-07-31T21:49:14.172660Z,hash/size-bound by the current F07 40-day strict-native input index
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-07_tick_window_v13_a16a7b7660e58a5a.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-07_tick_window_v13_a16a7b7660e58a5a.pkl""]",1224919630,1224921088,1,1,2026-07-31T21:51:56.263610Z,2026-07-31T21:51:56.263610Z,hash/size-bound by the current F07 40-day strict-native input index
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-08_tick_window_v13_8e93d79979a23f4b.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-08_tick_window_v13_8e93d79979a23f4b.pkl""]",1230278600,1230278656,1,1,2026-07-31T21:57:18.539637Z,2026-07-31T21:57:18.539637Z,hash/size-bound by the current F07 40-day strict-native input index
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-09_tick_window_v13_c6cf552bcd4fee7c.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-09_tick_window_v13_c6cf552bcd4fee7c.pkl""]",1237667351,1237667840,1,1,2026-07-31T21:58:21.461756Z,2026-07-31T21:58:21.461756Z,hash/size-bound by the current F07 40-day strict-native input index
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-10_tick_window_v13_7e2244050d6fcd65.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-10_tick_window_v13_7e2244050d6fcd65.pkl""]",1239894042,1239896064,1,1,2026-07-31T22:03:46.417940Z,2026-07-31T22:03:46.417940Z,hash/size-bound by the current F07 40-day strict-native input index
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-11_tick_window_v13_0c6c394da578dc19.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-11_tick_window_v13_0c6c394da578dc19.pkl""]",1227312544,1227313152,1,1,2026-07-31T22:05:19.191194Z,2026-07-31T22:05:19.191194Z,hash/size-bound by the current F07 40-day strict-native input index
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-12_tick_window_v13_41c4cc47935cfce8.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-12_tick_window_v13_41c4cc47935cfce8.pkl""]",1214317912,1214320640,1,1,2026-07-31T22:05:51.993989Z,2026-07-31T22:05:51.993989Z,hash/size-bound by the current F07 40-day strict-native input index
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-13_tick_window_v13_c610b3b3a5fa9e19.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-13_tick_window_v13_c610b3b3a5fa9e19.pkl""]",1188773434,1188773888,1,1,2026-07-31T22:11:00.569235Z,2026-07-31T22:11:00.569235Z,hash/size-bound by the current F07 40-day strict-native input index
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-14_tick_window_v13_e218a69a7ee420aa.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-14_tick_window_v13_e218a69a7ee420aa.pkl""]",1189055841,1189056512,1,1,2026-07-31T22:12:01.504832Z,2026-07-31T22:12:01.504832Z,hash/size-bound by the current F07 40-day strict-native input index
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-15_tick_window_v13_470acdd33619b6d3.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-15_tick_window_v13_470acdd33619b6d3.pkl""]",1203519181,1203519488,1,1,2026-07-31T22:12:05.099863Z,2026-07-31T22:12:05.099863Z,hash/size-bound by the current F07 40-day strict-native input index
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-16_tick_window_v13_8ad846f1046f339f.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-16_tick_window_v13_8ad846f1046f339f.pkl""]",1207052851,1207054336,1,1,2026-07-31T22:16:10.488532Z,2026-07-31T22:16:10.488532Z,hash/size-bound by the current F07 40-day strict-native input index
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-17_tick_window_v13_1d601f8440bbd5cd.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-17_tick_window_v13_1d601f8440bbd5cd.pkl""]",1218172450,1218174976,1,1,2026-07-31T22:16:44.917439Z,2026-07-31T22:16:44.917439Z,hash/size-bound by the current F07 40-day strict-native input index
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-18_tick_window_v13_d7342e67b38b1d9a.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-18_tick_window_v13_d7342e67b38b1d9a.pkl""]",1214016941,1214017536,1,1,2026-07-31T22:17:33.091479Z,2026-07-31T22:17:33.091479Z,hash/size-bound by the current F07 40-day strict-native input index
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-19_tick_window_v13_8de049ba6fd6d53d.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-19_tick_window_v13_8de049ba6fd6d53d.pkl""]",1203818267,1203818496,1,1,2026-07-31T22:21:00.086996Z,2026-07-31T22:21:00.086996Z,hash/size-bound by the current F07 40-day strict-native input index
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-20_tick_window_v13_86a4ea16e98cf77d.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-20_tick_window_v13_86a4ea16e98cf77d.pkl""]",1194760469,1194762240,1,1,2026-07-31T22:21:54.689756Z,2026-07-31T22:21:54.689756Z,hash/size-bound by the current F07 40-day strict-native input index
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-21_tick_window_v13_d2d43f648fdcd03a.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-21_tick_window_v13_d2d43f648fdcd03a.pkl""]",1188272927,1188274176,1,1,2026-07-31T22:22:44.321518Z,2026-07-31T22:22:44.321518Z,hash/size-bound by the current F07 40-day strict-native input index
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-22_tick_window_v13_9a09ca80d62b182c.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-22_tick_window_v13_9a09ca80d62b182c.pkl""]",1207147997,1207148544,1,1,2026-07-31T22:25:20.327983Z,2026-07-31T22:25:20.327983Z,hash/size-bound by the current F07 40-day strict-native input index
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-23_tick_window_v13_d86648fe5d00b730.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-23_tick_window_v13_d86648fe5d00b730.pkl""]",1211447632,1211449344,1,1,2026-07-31T22:25:40.959763Z,2026-07-31T22:25:40.959763Z,hash/size-bound by the current F07 40-day strict-native input index
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-24_tick_window_v13_6e94625d7b5ebbf2.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-24_tick_window_v13_6e94625d7b5ebbf2.pkl""]",1222922964,1222926336,1,1,2026-07-31T22:26:18.680738Z,2026-07-31T22:26:18.680738Z,hash/size-bound by the current F07 40-day strict-native input index
currently_referenced,legacy_window_v13,${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-25_tick_window_v13_fcfa0691164b1e03.pkl,"[""${NARROWGATE_CACHE_ROOT}/window_cache/btcusdc_2026-06-25_tick_window_v13_fcfa0691164b1e03.pkl""]",1228828709,1228832768,1,1,2026-07-31T22:29:38.658513Z,2026-07-31T22:29:38.658513Z,hash/size-bound by the current F07 40-day strict-native input index
